date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:08:55 AM,281,8010.37802005013,7720.5,7720.5,8010.37802005013,7910.01029798145
1:08:58 AM,282,8195.40802005012,7847,7847,8195.40802005012,8204.55428148333
1:09:01 AM,283,8433.83959899749,8609.14285714286,8270,8433.83959899749,8485.37185611413
1:09:04 AM,284,8622.90209899749,8940,9182,8622.90209899749,8697.07681717546
1:09:07 AM,285,8826.5520989975,8770,8681,8826.5520989975,8800.18768407297
1:09:10 AM,286,9034.11709899749,8579.08333333333,8574.5,9034.11709899749,8818.84187262864
1:09:13 AM,289,9188.66709899749,9119,9119,9188.66709899749,8768.4857675053
1:09:16 AM,290,9332.46709899749,9091,9091,9332.46709899749,8849.73464195427
1:09:19 AM,291,9459.76709899749,9125.5,9125.5,9459.76709899749,9046.73753769172
1:09:22 AM,292,9571.4170989975,9251.5,9251.5,9571.4170989975,9381.38671652476
1:09:25 AM,293,9669.86709899749,9442.5,9442.5,9669.86709899749,9802.97492778464
1:09:28 AM,294,9767.80876566416,9752.5,9754.5,9767.80876566416,10242.6450426837
1:09:31 AM,295,9825.66828947368,11029.3157894737,10960,9825.66828947368,10631.5399324341
1:09:34 AM,296,9878.25828947368,10669,10669,9878.25828947368,10900.8024682483
1:09:37 AM,297,9963.02019423559,11135,11125,9963.02019423559,11000.0272640808
1:09:40 AM,298,10037.1660275689,11417.8,11487,10037.1660275689,10952.6159048547
1:09:43 AM,299,10083.0660275689,10535,10535,10083.0660275689,10800.4217182356
1:09:46 AM,302,10126.7660275689,10381,10381,10126.7660275689,10133.6754706745
1:09:49 AM,303,10163.3910275689,10129.5,10129.5,10163.3910275689,9980.88325113778
1:09:52 AM,304,10189.4160275689,9884,9884,10189.4160275689,9920.37901408481
1:09:55 AM,305,10199.5160275689,9689.5,9689.5,10199.5160275689,9933.03694492876
1:09:58 AM,306,10187.9910275689,9805.83333333333,9814.5,10187.9910275689,9987.53540063236
1:10:01 AM,307,10115.2502380952,9766.33333333333,9648,10115.2502380952,10052.5527381583
1:10:04 AM,308,10069.6752380952,9991.8,9971,10069.6752380952,10096.7673144693
1:10:07 AM,309,10052.4692380952,10465.2380952381,10507,10052.4692380952,10096.1150323454
1:10:10 AM,310,10031.9792380952,10062,10062,10031.9792380952,10055.5619778366
1:10:13 AM,312,10028.1792380952,10037,10037,10028.1792380952,9903.6480791328
1:10:16 AM,316,10025.1292380952,9965,9965,10025.1292380952,9658.85081526364
1:10:19 AM,317,10028.3542380952,9858,9858,10028.3542380952,9681.25404634242
1:10:22 AM,318,10035.8209047619,9772,9772,10035.8209047619,9755.8497362316
1:10:25 AM,319,10051.2959047619,9644.5,9644.5,10051.2959047619,9866.38239808586
1:10:28 AM,320,10089.7167380952,9522,9511,10089.7167380952,9990.90072131738
1:10:31 AM,321,10155.7023441558,9574.5,9574.5,10155.7023441558,10107.4533953383
1:10:34 AM,322,10197.1623441558,9757.5,9757.5,10197.1623441558,10194.0891095609
1:10:37 AM,323,10205.5504393939,10790.88,10910,10205.5504393939,10235.1157192899
1:10:40 AM,324,10273.3337727273,11008,11008,10273.3337727273,10239.8777434007
1:10:43 AM,327,10344.9237727273,10459,10459,10344.9237727273,10192.6131497055
1:10:46 AM,328,10359.7237727273,10320,10320,10359.7237727273,10208.3536790247
1:10:49 AM,329,10367.5987727273,10194,10194,10367.5987727273,10265.8480465663
1:10:52 AM,330,10369.5987727273,10033.3333333333,10022,10369.5987727273,10374.0810380815
