date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
,242,9168.103558,8109,8109,9168.103558,8555.593324
,243,9535.920225,9900.5,9890,9535.920225,8986.81061
,244,9847.514225,10452.14286,10823,9847.514225,9436.879686
,245,10244.50961,10339.8,10501.5,10244.50961,9874.786074
,246,10599.50234,9886.714286,9949,10599.50234,10277.09947
,247,10946.07153,9844.846154,9851,10946.07153,10650.72627
,248,11316.43753,9466.266667,9443,11316.43753,11010.15706
,249,11853.28039,11819,11819,11853.28039,11369.8824
,250,12415.03039,11974,11974,12415.03039,11744.39288
,251,12970.63039,12132,12132,12970.63039,12147.32542
,252,13516.33039,13482.33333,12458,13516.33039,12588.90231
,253,13980.83039,13791,12806,13980.83039,13078.49221
,254,14433.22324,13153,13155,14433.22324,13625.46375
,255,14878.46658,14790.6,15266,14878.46658,14239.18558
,256,15352.86086,14598.45455,14631,15352.86086,14922.24891
,257,15804.9231,14766.27273,14558,15804.9231,15650.13524
,258,16231.89032,14786.32,14150,16231.89032,16391.54865
,259,16530.80907,18238.35714,18420,16530.80907,17115.19318
,260,16852.15907,18924,18924,16852.15907,17789.77293
,263,17173.60907,18958,18958,17173.60907,19206.16404
,264,17441.59241,19023,19023,17441.59241,19381.53297
,265,17710.14241,19190.5,19190.5,17710.14241,19411.40363
,266,18122.62241,19500,19500,18122.62241,19324.5263
,267,18464.49241,19244.66667,19761,18464.49241,19149.65124
,268,18832.13079,19374.6,20104,18832.13079,18915.52871
,269,19207.06953,18886.09091,17937,19207.06953,18653.86515
,270,19639.90353,18005.61111,17481.5,19639.90353,18408.19164
,271,19901.03568,17797.375,17819,19901.03568,18224.99544
,273,20127.78568,18401,18401,20127.78568,18231.98398
,274,20351.53568,18561,18561,20351.53568,18515.14324
,275,20604.51901,18842,18842,20604.51901,19025.74745
,276,20857.27401,19162,19162,20857.27401,19705.37704
,277,21138.91568,21402.6,22319,21138.91568,20474.63106
,278,21454.01568,21628,22130,21454.01568,21254.10856
,279,21728.47685,21951.22222,22469,21728.47685,21964.4086
,280,21999.02231,22265.04762,22340,21999.02231,22542.33504
,283,22454.64175,23443,23443,22454.64175,23562.92288
,284,22943.4605,23461,23461,22943.4605,23724.81467
,285,23410.798,23459,23459,23410.798,23827.26755
,286,24023.18134,23433,23432,24023.18134,23888.10942
,287,24706.58634,24082.66667,24341,24706.58634,23931.63828
,288,25378.44467,24245.6,24264,25378.44467,24008.03259
,289,25742.46467,25132.83333,25457.5,25742.46467,24173.94087
,290,26110.32717,25546.66667,25289,26110.32717,24486.01169
,291,26394.44106,24863.82353,24291,26394.44106,25000.89359
,292,26647.82691,24297,24297,26647.82691,25775.23511
,293,26948.15816,27118,27118,26948.15816,26826.86451
,294,27286.30816,27573.75,27605.5,27286.30816,28018.32889
,295,27562.05816,27747.75,27689.5,27562.05816,29173.35505
,296,27832.60816,30808.66667,30402.5,27832.60816,30115.66979
,297,28005.75816,32510.1,30587.5,28005.75816,30668.99991
,298,28138.47816,32599.16667,32079,28138.47816,30714.77061
,299,28243.75525,28683,28683,28243.75525,30365.20057
,300,28314.18858,28985.25,28930,28314.18858,29790.20688
,301,28333.1474,27633.5,27477.5,28333.1474,29159.70661
,302,28380.0974,27332.76471,26812,28380.0974,28643.61685
,303,28387.8974,29449.625,29977,28387.8974,28369.13163
,304,28327.05276,30224,30224,28327.05276,28292.55278
,305,28280.41526,28974,28974,28280.41526,28327.45909
,307,28041.64581,28844,28844,28041.64581,28386.04237
,308,27727.24081,27545.66667,28614,27727.24081,28236.87691
,309,27502.98248,26900,26910,27502.98248,27882.54589
,310,27464.28248,27238.375,28133,27464.28248,27381.79867
,311,27394.74498,26955.33333,26980,27394.74498,26822.41875
,313,27375.81998,25243,25243,27375.81998,25878.89474
,314,27390.57266,25236,25236,27390.57266,25670.31762
,315,27264.09595,27274,28297,27264.09595,25725.56633
,316,27072.56262,26356.85714,25152,27072.56262,25989.04732
,317,26994.33762,26815,27483,26994.33762,26376.49161
,318,26874.59476,26033.27778,26203,26874.59476,26803.63024
,319,26817.87393,26222,26222,26817.87393,27186.19425
,320,26782.44393,28114,28114,26782.44393,27456.83031
,323,26691.8033,27909,27909,26691.8033,27667.92628
,324,26546.98664,27594.5,27594.5,26546.98664,27595.4373
,325,26478.42414,27255,27255,26478.42414,27480.2294
,326,26399.85747,27627.81818,27986,26399.85747,27339.52751
,327,26246.98247,26920.09091,26991,26246.98247,27190.55657
,328,26163.50211,26393.33333,26182,26163.50211,27047.0429
,332,26104.38649,27409.5,27409.5,26104.38649,26487.21311
,333,25912.3726,26449.14286,26562,25912.3726,26331.97843
,334,25764.4726,26411.25,26518.5,25764.4726,26163.09947
,335,25488.78926,26191.4,26488,25488.78926,25976.80953
,336,25209.67676,25425.5625,25223.5,25209.67676,25770.7996
,340,24921.14551,24059,24059,24921.14551,24834.57192
,341,24629.99051,23871.75,23837.5,24629.99051,24597.36516
,342,24246.59127,23664.66667,23480,24246.59127,24368.85734
,343,23911.05596,24216.5,24135.5,23911.05596,24154.02789
,344,23687.37262,24687.25,24186,23687.37262,23955.36662
,345,23421.92262,25632.6875,25548,23421.92262,23765.40492
,348,23179.51548,22193,22193,23179.51548,23148.1347
,349,22763.90298,23264,23264,22763.90298,22893.38878
,350,22515.13298,22600.33333,23328,22515.13298,22597.5512
,351,22193.86914,22326.75,22327.5,22193.86914,22257.34976
,352,21932.16914,21823.875,20933.5,21932.16914,21896.25639
,353,21690.12395,21431.9,20912.5,21690.12395,21544.42911
,354,21432.12395,19959.83333,19713.5,21432.12395,21232.02591
,355,21093.32395,20209.38462,20123,21093.32395,20989.20477
,356,20715.93645,21919.66667,21933,20715.93645,20835.47136
,358,20269.28541,22100.5,22100.5,20269.28541,20692.2006
,360,20039.67916,21601,21601,20039.67916,20542.81775
,361,19808.95993,18099,17486.5,19808.95993,20381.44421
,362,19546.70993,21216,21216,19546.70993,20117.27456
,363,19311.87243,19000.28571,17661,19311.87243,19730.19155
,364,19068.96049,18825,17849,19068.96049,19254.63314
,365,18838.02004,19030.84615,19107,18838.02004,18738.67603
,366,18742.72837,18504.66667,18538,18742.72837,18230.39696
,368,18610.54914,17440.5,17533,18610.54914,17429.17985
,369,18358.65081,17139.5,17139.5,18358.65081,17232.39526
,370,18062.50914,16699.66667,16688,18062.50914,17215.87836
,371,17791.73414,17600.875,17637,17791.73414,17329.11953
,372,17654.977,18649.61538,19029,17654.977,17501.89191
,373,17378.852,17355.33333,17386,17378.852,17663.96864
,374,17189.30438,17630,17630,17189.30438,17745.12284
,375,17018.68771,16965.63636,17226,17018.68771,17692.7106
,376,16835.21848,16813.09091,16750,16835.21848,17524.41987
,377,16679.84015,18054,18054,16679.84015,17275.52154
,378,16556.41932,17565.8,17578,16556.41932,16981.28653
,379,16449.69432,16881.7,16884,16449.69432,16676.98571
,380,16453.69848,16177.66667,16190,16453.69848,16392.25513
